DATE	VALUE	
24-2-2017	0.005883
25-2-2017	0.0057
26-2-2017	0.005664
27-2-2017	0.005665
28-2-2017	0.005608
1-3-2017	0.005525
2-3-2017	0.005419
3-3-2017	0.005988
4-3-2017	0.006354
5-3-2017	0.00629
6-3-2017	0.006129
7-3-2017	0.006057
8-3-2017	0.006551
9-3-2017	0.006485
10-3-2017	0.006503
11-3-2017	0.006229
12-3-2017	0.006214
13-3-2017	0.006271
14-3-2017	0.006346
15-3-2017	0.00637
16-3-2017	0.006319
17-3-2017	0.006406
18-3-2017	0.006137
19-3-2017	0.006736
20-3-2017	0.006915
21-3-2017	0.006996
22-3-2017	0.006908
23-3-2017	0.007284
24-3-2017	0.010528
25-3-2017	0.010502
26-3-2017	0.009159
27-3-2017	0.009482
28-3-2017	0.009568
29-3-2017	0.009526
30-3-2017	0.010125
31-3-2017	0.013049
1-4-2017	0.021743
2-4-2017	0.021938
3-4-2017	0.060291
4-4-2017	0.033032
5-4-2017	0.037386
6-4-2017	0.035672
7-4-2017	0.03274
8-4-2017	0.036355
9-4-2017	0.035799
10-4-2017	0.034123
11-4-2017	0.033677
12-4-2017	0.033002
13-4-2017	0.034459
14-4-2017	0.034262
15-4-2017	0.033528
16-4-2017	0.03388
17-4-2017	0.0334
18-4-2017	0.033638
19-4-2017	0.033181
20-4-2017	0.030259
21-4-2017	0.029727
22-4-2017	0.033122
23-4-2017	0.031878
24-4-2017	0.031236
25-4-2017	0.031409
26-4-2017	0.03239
27-4-2017	0.032827
28-4-2017	0.034843
29-4-2017	0.044558
30-4-2017	0.052807
1-5-2017	0.05158
2-5-2017	0.054646
3-5-2017	0.053905
4-5-2017	0.061062
5-5-2017	0.080229
6-5-2017	0.093429
7-5-2017	0.101929
8-5-2017	0.14162
9-5-2017	0.199198
10-5-2017	0.158471
11-5-2017	0.185035
12-5-2017	0.18276
13-5-2017	0.206697
14-5-2017	0.215179
15-5-2017	0.220069
16-5-2017	0.269824
17-5-2017	0.355124
18-5-2017	0.394931
19-5-2017	0.363505
20-5-2017	0.328631
21-5-2017	0.353164
22-5-2017	0.338403
23-5-2017	0.313347
24-5-2017	0.325054
25-5-2017	0.291834
26-5-2017	0.245083
27-5-2017	0.272697
28-5-2017	0.212887
29-5-2017	0.227189
30-5-2017	0.232191
31-5-2017	0.20536
1-6-2017	0.243946
2-6-2017	0.333645
3-6-2017	0.30046
4-6-2017	0.298386
5-6-2017	0.299862
6-6-2017	0.294028
7-6-2017	0.284677
8-6-2017	0.280902
9-6-2017	0.289695
10-6-2017	0.285806
11-6-2017	0.259445
12-6-2017	0.273075
13-6-2017	0.253823
14-6-2017	0.265823
15-6-2017	0.278196
16-6-2017	0.259473
17-6-2017	0.262358
18-6-2017	0.268085
19-6-2017	0.283977
20-6-2017	0.292194
21-6-2017	0.324623
22-6-2017	0.299886
23-6-2017	0.297718
24-6-2017	0.319188
25-6-2017	0.310816
26-6-2017	0.29877
27-6-2017	0.277288
28-6-2017	0.275391
29-6-2017	0.280565
30-6-2017	0.26606
1-7-2017	0.262855
2-7-2017	0.254512
3-7-2017	0.258977
4-7-2017	0.259841
5-7-2017	0.255125
6-7-2017	0.256374
7-7-2017	0.254858
8-7-2017	0.239741
9-7-2017	0.236884
10-7-2017	0.234067
11-7-2017	0.196415
12-7-2017	0.184198
13-7-2017	0.205873
14-7-2017	0.200819
15-7-2017	0.190976
16-7-2017	0.16948
17-7-2017	0.150146
18-7-2017	0.179668
19-7-2017	0.188498
20-7-2017	0.170017
21-7-2017	0.18943
22-7-2017	0.182168
23-7-2017	0.193568
24-7-2017	0.194979
25-7-2017	0.19228
26-7-2017	0.177582
27-7-2017	0.17521
28-7-2017	0.173211
29-7-2017	0.165218
30-7-2017	0.169494
31-7-2017	0.16505
1-8-2017	0.168024
2-8-2017	0.177531
3-8-2017	0.173218
4-8-2017	0.174555
5-8-2017	0.173865
6-8-2017	0.185398
7-8-2017	0.179716
8-8-2017	0.179602
9-8-2017	0.192527
10-8-2017	0.183168
11-8-2017	0.180175
12-8-2017	0.179221
13-8-2017	0.173545
14-8-2017	0.168376
15-8-2017	0.16979
16-8-2017	0.161238
17-8-2017	0.160787
18-8-2017	0.157117
19-8-2017	0.159553
20-8-2017	0.154569
21-8-2017	0.15841
22-8-2017	0.194971
23-8-2017	0.240987
24-8-2017	0.252371
25-8-2017	0.2172
26-8-2017	0.218256
27-8-2017	0.212617
28-8-2017	0.203425
29-8-2017	0.224026
30-8-2017	0.218871
31-8-2017	0.227558
1-9-2017	0.255803
2-9-2017	0.249348
3-9-2017	0.227229
4-9-2017	0.228781
5-9-2017	0.20511
6-9-2017	0.214951
7-9-2017	0.226382
8-9-2017	0.223615
9-9-2017	0.211293
10-9-2017	0.209606
11-9-2017	0.212513
12-9-2017	0.21486
13-9-2017	0.20963
14-9-2017	0.200427
15-9-2017	0.165035
16-9-2017	0.181925
17-9-2017	0.178377
18-9-2017	0.178309
19-9-2017	0.189819
20-9-2017	0.18371
21-9-2017	0.180981
22-9-2017	0.171567
23-9-2017	0.173371
24-9-2017	0.178175
25-9-2017	0.175519
26-9-2017	0.181968
27-9-2017	0.185297
28-9-2017	0.202532
29-9-2017	0.196105
30-9-2017	0.193824
1-10-2017	0.197622
2-10-2017	0.206077
3-10-2017	0.203209
4-10-2017	0.203218
5-10-2017	0.215583
6-10-2017	0.237726
7-10-2017	0.233963
8-10-2017	0.238312
9-10-2017	0.278758
10-10-2017	0.252825
11-10-2017	0.260658
12-10-2017	0.265046
13-10-2017	0.248285
14-10-2017	0.26115
15-10-2017	0.257537
16-10-2017	0.263386
17-10-2017	0.256098
18-10-2017	0.231216
19-10-2017	0.218229
20-10-2017	0.215086
21-10-2017	0.210189
22-10-2017	0.210958
23-10-2017	0.203504
24-10-2017	0.195567
25-10-2017	0.207113
26-10-2017	0.204444
27-10-2017	0.203668
28-10-2017	0.202592
29-10-2017	0.201358
30-10-2017	0.203076
31-10-2017	0.202405
1-11-2017	0.200247
2-11-2017	0.194596
3-11-2017	0.206205
4-11-2017	0.208083
5-11-2017	0.203274
6-11-2017	0.201967
7-11-2017	0.205103
8-11-2017	0.210675
9-11-2017	0.217911
10-11-2017	0.218256
11-11-2017	0.205948
12-11-2017	0.210214
13-11-2017	0.197472
14-11-2017	0.203679
15-11-2017	0.208937
16-11-2017	0.212655
17-11-2017	0.224768
18-11-2017	0.226547
19-11-2017	0.22814
20-11-2017	0.231336
21-11-2017	0.237978
22-11-2017	0.232642
23-11-2017	0.238991
24-11-2017	0.242851
25-11-2017	0.244178
26-11-2017	0.252914
27-11-2017	0.248305
28-11-2017	0.254037
29-11-2017	0.297867
